Número de Pedido;Fecha de venta;Producto;Operador;Región;Cantidad vendida;Ingreso;Tipo de venta
471863;21/03/2024;incubate strategic e-business;29;US;13;59281;caliente
689897;12/03/2024;visualize rich experiences;5,1;IT;15;78443;fría
105744;15/05/2024;whiteboard open-source relationships;44;IT;10;27282;caliente
176137;20/01/2024;disintermediate customized networks;15;UK;3;2734;fría
142651;14/03/2024;revolutionize B2C functionalities;19;Brasil;11;102714;fría
851223;13/05/2024;integrate integrated e-services;9,47;Alemania;8;42013;fría
832840;01/07/2024;strategize plug-and-play convergence;17,12;China;19;167335;caliente
410378;01/03/2024;whiteboard compelling infrastructures;16,54;IT;2;4708;fría
785589;21/05/2024;engineer bleeding-edge initiatives;29;BR;16;21812;fría
584221;03/07/2024;engineer world-class solutions;5,15;ES;5;38907;fría
255948;04/06/2024;e-enable scalable portals;25,39;US;5;27643;caliente
104844;15/05/2024;generate holistic functionalities;56;DE;2;3852;fría
960726;05/02/2024;synthesize granular markets;33;España;2;13318;caliente
638220;20/06/2024;unleash viral synergies;7,56;UK;12;110552;fría
312432;10/05/2024;empower value-added markets;18,46;China;1;419;fría
244854;16/06/2024;iterate turn-key eyeballs;6;United States;10;79885;caliente
378664;07/05/2024;enable out-of-the-box e-tailers;15;IT;13;38597;caliente
812925;09/03/2024;cultivate dot-com content;10;US;4;37703;caliente
136652;28/01/2024;matrix dynamic mindshare;60,45;Japón;17;134214;caliente
925187;14/05/2024;implement customized niches;53,24;BR;20;105081;fría
293770;29/02/2024;matrix world-class partnerships;39;Reino Unido;2;11656;fría
371015;11/04/2024;embrace wireless metrics;3,1;BR;12;17617;fría
695861;23/05/2024;engineer value-added channels;1;BR;20;11241;caliente
263217;13/05/2024;re-contextualize compelling e-commerce;60,27;Alemania;7;29797;fría
363794;29/03/2024;engage back-end deliverables;51,8;España;4;38233;caliente
452302;09/06/2024;whiteboard intuitive web services;14;Francia;7;38617;caliente
122913;05/03/2024;morph distributed portals;37,21;UK;11;5279;caliente
212996;17/04/2024;mesh best-of-breed synergies;4;Italia;2;4058;fría
505699;29/06/2024;incentivize dynamic bandwidth;15;IN;2;17029;fría
532728;16/02/2024;integrate back-end synergies;55;India;15;38986;caliente
144404;26/02/2024;enable bleeding-edge web services;21;Reino Unido;8;5108;caliente
134572;03/05/2024;extend innovative relationships;12;JP;5;20923;caliente
281916;22/02/2024;visualize web-enabled interfaces;29;US;13;120856;caliente
282706;03/03/2024;redefine integrated paradigms;6;US;2;10878;caliente
198474;10/02/2024;monetize cross-media networks;22,45;Japón;9;65654;fría
457299;21/02/2024;matrix front-end users;25,14;España;13;14374;caliente
678382;17/05/2024;scale synergistic mindshare;55;Brasil;6;59589;caliente
590734;26/02/2024;synthesize vertical relationships;39;China;14;1774;caliente
411369;06/02/2024;maximize viral initiatives;6;DE;5;39595;fría
115122;07/06/2024;incentivize dot-com solutions;43,4;JP;18;66235;fría
746830;13/05/2024;streamline transparent mindshare;22,1;Alemania;12;45748;fría
920736;01/07/2024;incentivize web-enabled architectures;12;IT;6;17146;fría
566254;03/06/2024;strategize leading-edge e-markets;13,59;Brasil;16;47859;fría
